VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2018,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2019,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2020,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Argentina,2021,3.187482881,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2018,24.224481915,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2019,27.468142618,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2020,25.614622216,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Armenia,2021,29.038486292,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2018,2.566611154,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2019,2.12398374,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2020,1.723577236,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Australia,2021,2.280487805,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2018,0.152881453,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2019,0.15958816,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2020,0.15958816,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Austria,2021,0.15958816,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2018,32.406633021,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2019,33.493871666,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2020,32.320115357,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Azerbaijan,2021,34.497476568,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2018,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2019,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2020,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bahrain,2021,124.74137931,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2018,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2019,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2020,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bangladesh,2021,2.567170212,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2018,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2019,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2020,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Barbados,2021,68.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2018,0.718480138,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2019,0.633851468,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2020,0.633851468,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belarus,2021,0.683937824,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2018,0.296851803,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2019,0.297814208,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2020,0.279781421,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belgium,2021,0.279781421,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2018,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2019,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2020,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Belize,2021,0.314714273,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2018,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2019,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2020,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Benin,2021,0.223569534,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2018,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2019,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2020,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bhutan,2021,0.407692308,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2018,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2019,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2020,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bolivia (Plurinational State of),2021,0.334494774,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2018,0.650326797,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2019,0.609395425,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2020,0.665601307,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Botswana,2021,0.637250817,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2018,0.448826183,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2019,0.49196253,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2020,0.479010061,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brazil,2021,0.477275356,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2018,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2019,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2020,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Brunei Darussalam,2021,0.062352941,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2018,3.399061033,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2019,2.915492958,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2020,3.056338028,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Bulgaria,2021,3.056338028,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2018,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2019,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2020,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burkina Faso,2021,3.116296296,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2018,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2019,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2020,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Burundi,2021,1.770899809,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2018,28.407460444,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2019,29.841326667,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2020,37.733583333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cabo Verde,2021,36.42317,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2018,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2019,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2020,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cambodia,2021,0.43121193,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2018,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2019,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2020,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cameroon,2021,0.260286067,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2018,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2019,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2020,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Canada,2021,0.132977257,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2018,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2019,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2020,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Central African Republic,2021,0.000283688,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2018,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2019,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2020,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chad,2021,1.470897155,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2018,3.187225099,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2019,3.187225099,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2020,3.187225099,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Chile,2021,3.187225099,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2018,13.002865975,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2019,12.964840752,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2020,12.718733056,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,China,2021,12.718733056,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2018,0.981568542,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2019,0.921040805,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2020,0.946825545,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Colombia,2021,0.975052163,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2018,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2019,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2020,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Comoros,2021,0.391666667,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2018,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2019,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2020,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Congo,2021,0.000480769,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2018,1.854554365,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2019,1.832245876,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2020,1.836300021,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Costa Rica,2021,1.852119631,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2018,0.072037915,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2019,0.072037915,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2020,0.072037915,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Croatia,2021,0.072037915,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2018,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2019,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2020,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cuba,2021,11.854669465,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2018,22.435897436,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2019,21.282051282,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2020,22.051282051,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Cyprus,2021,23.076923077,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2018,0.380228137,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2019,0.326996198,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2020,0.296577947,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Czechia,2021,0.281368821,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2018,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2019,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2020,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Côte d'Ivoire,2021,0.713097219,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2018,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2019,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2020,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic People's Republic of Korea,2021,8.567725211,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2018,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2019,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2020,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Democratic Republic of the Congo,2021,0.005604053,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2018,10.988983333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2019,8.443483333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2020,8.788933333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Denmark,2021,8.788933333,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2018,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2019,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2020,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Djibouti,2021,1,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2018,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2019,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2020,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominica,2021,0.5,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2018,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2019,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2020,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Dominican Republic,2021,32.182978723,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2018,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2019,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2020,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ecuador,2021,1.825497287,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2018,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2019,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2020,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Egypt,2021,106.695652174,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2018,1.913277938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2019,1.641431759,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2020,1.36958558,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,El Salvador,2021,1.973825797,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2018,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2019,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2020,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Equatorial Guinea,2021,0.003846154,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2018,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2019,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2020,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eritrea,2021,7.518796993,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2018,0.037002733,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2019,0.03795096,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2020,0.037925652,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Estonia,2021,0.038820623,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2018,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2019,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2020,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Eswatini,2021,22.305986696,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2018,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2019,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2020,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Ethiopia,2021,7.940163934,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2018,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2019,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2020,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Fiji,2021,0.175131349,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2018,0.363636364,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2019,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2020,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Finland,2021,0.909090909,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2018,1.415556444,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2019,1.508674741,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2020,1.630474938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,France,2021,1.630474938,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2018,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2019,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2020,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gabon,2021,0.024277108,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2018,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2019,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2020,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Gambia,2021,0.49,%,I,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2018,0.722943313,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2019,0.933207011,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2020,1.117748302,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Georgia,2021,1.184083373,%,E,False
Water use,Pressure on water resources,Agricultural water withdrawal as % of total renewable water resources,Germany,2018,0.751993506,%,E,False
